LT,TEC
17.11167526,30.02921921
17.14499911,30.1328705
17.17832292,29.83446954
17.21164664,29.7496862
17.24497035,29.66769061
17.27829398,29.40968519
17.31161759,28.92033488
17.34494113,28.77732587
17.37826464,28.74606942
17.4115881,28.62391217
17.44491153,28.82365902
17.4782349,28.76111776
17.51155826,28.44389201
17.54488156,28.32687096
17.57820484,27.93928893
17.61152805,27.64156076
17.64485125,27.53745865
17.6781744,27.6303304
17.71149754,27.48260398
17.74482064,27.50262978
17.77814374,27.21221021
17.81146678,27.14038388
17.84478984,27.09430432
17.87811285,27.41628971
17.91143584,27.5398212
17.94475877,27.49935896
17.97808171,27.55906973
18.01140465,27.94778247
18.0447276,28.08569892
18.07805049,28.4164035
18.11137338,28.20083979
18.14469629,28.20924156
18.17801917,28.41419026
18.21134201,28.81926993
18.24466491,29.51639618
18.27798775,29.68432885
18.31131061,29.68291469
18.34463345,29.82349465
18.37795632,29.79713965
18.41127918,29.15569283
18.44460203,29.30765785
18.47792491,29.38487694
18.51124778,29.92890796
18.54457067,30.20468247
18.57789358,30.43843723
18.61121649,30.42959527
18.64453942,30.06194519
18.67786236,30.54436249
18.71118531,30.72452306
18.74450831,30.68932537
18.77783129,29.97704993
18.81115429,29.84304885
18.84447734,29.36407281
18.8778004,29.36642971
18.91112348,29.52244041
18.9444466,29.10843643
18.97776979,28.99482919
19.01109296,28.59142808
19.04441616,28.19212491
19.07773941,27.84480902
19.11106271,27.41857893
19.14438599,26.71004495
19.17770936,26.17356304
19.21103277,26.210026
19.2443562,26.30255939
19.27767967,26.3561643
19.31100319,26.16927078
19.34432678,25.69158072
19.37765039,25.58817635
19.41097403,25.30798632
19.44429776,25.23713826
19.47762154,24.9925811
19.51094535,25.19189824
19.54426923,24.83717466
19.57759315,24.1900072
19.61091711,23.79700009
19.64424116,23.33754889
19.67756524,23.08107145
19.71088939,23.05110503
19.74421361,22.62503008
19.77753789,22.31123384
19.81086223,22.04380229
19.84418663,21.52210473
19.87751112,21.04495252
19.91083565,20.67769402
19.94416023,20.50363264
19.97748491,20.40388336
20.01080965,20.36941571
20.04413448,20.14157434
20.07745935,20.13648181
20.11078432,19.95897502
20.14410936,19.62956009
20.17743445,19.4253266
20.21075966,19.42041858
20.24408493,19.74842776
20.27741023,19.78547083
20.31073567,19.91758382
20.3440612,20.14613845
20.37738678,20.23772984
20.41071245,19.73817815
20.44403822,19.61910203
20.47736403,19.52638789
20.51068998,19.45946056
20.54401595,19.43690159
20.57734206,19.55501574
20.61066825,19.48663802
20.64399454,19.43150455
20.67732089,18.82473358
20.71064734,18.51818645
20.74397388,18.26641225
20.77730051,17.81958892
20.81062722,17.67270703
20.84395403,17.5827143
20.87728097,17.69277416
20.91060795,17.560709
20.94393504,17.23962526
20.97726224,17.02000077
21.01058951,16.99596659
21.0439169,16.99511799
21.07724439,16.81481323
21.11057194,16.71505043
21.14389964,16.69115398
21.1772274,16.29148096
21.21055524,16.12474092
21.24388322,16.0349204
21.27721129,15.68356685
21.31053942,15.31947051
21.34386768,15.15244861
21.37719605,15.09484514
21.4105245,15.00996177
21.44385307,14.91973246
21.47718173,14.72908301
21.51051049,14.80111131
21.54383933,15.20385617
21.57716831,15.03560051
21.61049738,15.13461468
21.64382654,14.93253553
21.67715581,14.99696467
21.71048517,14.86353936
21.74381464,14.52397825
21.77714422,14.40079391
21.81047392,14.34940909
21.84380371,14.22761419
21.87713357,14.22868877
21.91046351,14.05967694
21.94379364,13.54124265
21.9771238,13.22737691
22.01045409,12.94764713
22.04378447,12.7280463
22.07711496,12.47264099
