TEC,Predicted TEC Values
27.62633405,27.908453
27.80900861,28.197508
27.77088282,28.108887
27.91465019,28.205976
27.90845416,28.40129
28.19750736,28.257042
28.10888814,28.3252
28.20597628,28.141607
28.40129309,28.14456
28.257044699999998,28.44266
28.325200399999996,28.356749
28.14160996,28.37631
28.14456191,27.972998
28.44265883,28.178595
28.35675043,28.10581
28.37630995,28.51132
27.97299786,28.428976
28.17859575,28.626097
28.10581171,28.501505
28.51132127,28.82303
28.4289776,28.381916
28.62609969,28.240456
28.50150532,28.32047
28.82303082,28.201271
28.38191853,28.249477
28.24045704,28.319803
28.32047154,28.451086
28.201271000000002,28.684343
28.24947737,28.424112
28.31980474,28.530853
28.45108671,29.10535
28.68434347,28.980658
28.42411396,28.966139
28.53085396,29.23105
29.10535093,29.585474
28.98065804,29.667349
28.96613937,29.75816
29.23105182,29.836279
29.58547666,30.026146
29.66735097,30.013737
29.75816171,29.871168
29.83627821,30.102175
30.02614575,30.28321
30.01373733,30.04272
29.87116794,30.114468
30.10217743,30.112347
30.28321209,30.27272
30.0427206,30.156347
30.11446853,30.280146
30.112348100000002,30.296051
30.27272049,30.37097
30.15634743,30.410833
30.28014859,30.407057
30.29605346,30.153908
30.37096983,30.437426
30.410834899999998,30.36081
30.40705676,30.764654
30.153910600000003,30.454025
30.43742828,30.63487
30.36080886,30.769548
30.76465492,30.843014
30.45402673,31.10454
30.63487257,31.058205
30.7695493,31.433027
30.84301459,31.582233
31.10454261,31.757927
31.05820777,31.802086
31.43302695,31.610523
31.58223425,31.806107
31.75792765,31.433754
31.80208671,31.770756
31.61052346,32.105488
31.80610826,31.70835
31.433755100000003,31.665546
31.77075804,31.849709
32.10548779,31.962973
31.70834942,31.738604
31.66554676,32.066612
31.84970959,31.90967
31.96297391,31.758343
31.73860599,31.502563
32.06661446,31.070505
31.90966923,31.115808
31.75834255,31.373547
31.50256606,31.034761
31.07050556,30.890366
31.11581149,30.544802
31.373548600000003,30.80087
31.03476355,30.419827
30.89036738,30.423553
30.5448043,30.32196
30.8008739,30.546133
30.41982696,30.229012
30.42355576,30.074217
30.32196024,30.222391
30.54613406,30.208897
30.22901167,29.79505
30.07421956,29.628855
30.22239274,29.724894
30.20889868,29.754023
29.79505158,29.835325
29.62885561,29.971867
29.72489476,29.686487
29.75402374,29.994543
29.83532718,30.008709
29.97186787,29.728056
29.68648705,29.2121
29.99454319,29.633736
30.0087108,29.352983
29.72805819,29.223518
29.21209994,29.485
29.63373648,29.861298
29.35298475,29.652977
29.22351971,29.604414
29.48500112,30.014296
29.86129822,29.790503
29.65297813,29.642496
29.60441593,29.700851
30.01429649,29.788765
29.790504499999997,29.638618
29.642497499999998,29.762676
29.70085374,29.812033
29.78876575,30.098606
29.63861989,29.977173
29.76267837,29.906843
29.81203453,29.851173
