Predicted,Original
23.107908,26.97708
23.088278,27.008816
23.293575,27.0707
23.17863,27.04916
23.263107,26.849667
23.49823,26.701502
23.402954,26.821102
23.33836,27.05185
23.291685,26.97703
23.410803,26.921518
23.87219,26.79933
23.834118,26.911736
23.982637,26.939009
24.235525,27.185068
24.130125,27.076374
23.984282,27.205523
24.05521,27.384508
24.189497,27.34412
24.209503,27.48355
23.93619,27.47588
23.959564,27.759205
24.071735,27.668758
24.133797,27.761993
24.02085,27.953499
24.02876,27.808819
24.069048,27.874886
24.129953,27.694416
24.213644,27.698908
24.071,27.994356
24.155998,27.907417
24.315287,27.924097
24.449049,27.526669
24.733864,27.7332
24.617577,27.663956
24.991056,28.063171
24.986076,27.978127
25.131132,28.168694
25.12701,28.043606
24.510458,28.359755
24.440512,27.923044
24.46573,27.784958
24.437923,27.869009
24.222677,27.753891
24.698465,27.80203
24.643652,27.87172
24.547,28.00011
24.566578,28.227596
24.8471,27.967299
24.718075,28.071972
24.754406,28.639105
24.7404,28.510363
24.622843,28.49056
24.95085,28.751259
24.971224,29.098515
24.811613,29.172867
25.130749,29.256916
25.187815,29.331255
25.355612,29.516676
25.117579,29.501781
25.284708,29.359694
25.365202,29.588614
25.58447,29.766161
25.70225,29.525677
25.79644,29.596498
26.154734,29.595783
26.606401,29.75387
26.742178,29.637394
26.892601,29.758942
26.945415,29.774046
26.6947,29.84684
26.99957,29.884834
27.159353,29.88003
27.16324,29.630465
26.759706,29.91246
26.979132,29.836523
26.790283,30.232738
27.14901,29.922483
27.089384,30.100286
27.306906,30.232988
27.334778,30.303185
26.996319,30.558027
27.177809,30.508684
26.916958,30.875675
27.080917,31.0183
26.985874,31.186552
27.308416,31.226334
27.356043,31.036648
27.204199,31.23151
27.496151,30.865559
27.328556,31.200588
27.321543,31.528221
27.3605,31.131954
27.707396,31.09109
27.472294,31.275742
28.031206,31.386429
27.995897,31.16296
28.494589,31.48668
28.597721,31.330296
28.229744,31.181482
28.348516,30.93265
28.72402,30.512701
28.901093,30.56457
28.901506,30.821012
29.267292,30.484385
29.22334,30.342743
29.279236,30.006226
29.21656,30.26392
28.898214,29.888987
28.896011,29.894575
29.050278,29.796738
29.387901,30.019012
29.876633,29.704897
29.651152,29.553654
30.246574,29.703445
30.0091,29.690788
30.080313,29.282187
30.033281,29.122356
30.172518,29.222662
30.225965,29.252914
30.13648,29.331692
30.347666,29.464285
30.084326,29.180792
30.365517,29.485533
30.800095,29.498802
30.870031,29.220093
30.995163,28.71401
31.004526,29.13765
30.748415,28.862837
30.943335,28.735004
31.434866,28.995066
31.575737,29.364954
31.088804,29.153397
31.191486,29.102829
31.181337,29.508242
31.02516,29.285028
31.286673,29.137632
31.472857,29.197899
31.375198,29.286253
31.707457,29.137333
31.393946,29.25987
31.182455,29.308405
31.51515,29.58923
31.385853,29.465734
31.069529,29.394753
31.15985,29.341324
30.957634,29.350084
31.228031,29.166332
30.78452,29.19103
30.539461,29.4822
30.3242,29.560614
30.38569,29.558537
30.10349,29.863468
29.826115,30.207548
29.695055,29.873438
29.52621,30.001427
29.362583,29.92166
29.384092,29.825142
29.201641,29.510826
29.369204,29.272573
29.41358,29.24667
28.865978,29.655716
28.60159,29.611225
28.37988,29.89278
28.616669,30.040161
28.543993,30.18419
28.485168,30.151773
28.358152,29.923275
28.368198,30.079254
27.921778,29.906387
27.930784,29.787169
27.744331,29.892807
26.884363,29.833202
26.645584,30.079351
26.604605,30.548403
26.538652,30.335344
27.02676,30.220776
26.774467,29.498816
26.584948,29.611301
26.245226,29.323694
25.743307,29.243826
25.689823,29.165699
25.879145,28.913479
25.34885,28.434765
25.553192,28.301245
25.234869,28.277225
24.705,28.159744
24.284521,28.357924
24.098236,28.295338
23.980328,27.98154
24.029062,27.869303
23.829897,27.492424
23.254353,27.205261
22.814451,27.110064
22.677643,27.206898
22.611898,27.062601
23.248188,27.082859
23.460552,26.797981
23.4099,26.730213
23.442171,26.688723
23.145191,27.008081
22.98315,27.12755
22.606417,27.083006
22.322296,27.139572
22.28756,27.521904
22.841366,27.653584
22.462612,27.97339
22.336075,27.754963
22.375484,27.761156
22.15471,27.964436
22.114132,28.362293
22.360336,29.042791
22.57714,29.195843
22.488058,29.183693
22.513117,29.318602
22.115824,29.291485
22.19289,28.65942
21.936977,28.81608
21.78004,28.897472
21.545305,29.432756
21.782072,29.696888
21.674347,29.917849
21.484459,29.902296
21.226076,29.538
20.786476,30.017323
20.424553,30.19361
20.111828,30.153433
19.897093,29.449903
19.660704,29.326088
19.501242,28.863302
19.442442,28.873692
19.32405,29.03165
19.232113,28.622969
19.22816,28.51288
19.116467,28.120132
18.856102,27.733112
18.657637,27.399267
18.310587,26.988123
18.116575,26.299519
17.964836,25.783627
18.314781,25.83321
18.205536,25.932272
17.894115,25.985943
17.3758,25.800566
17.462296,25.331509
17.094896,25.236012
16.883682,24.967632
17.086205,24.903633
17.021513,24.667698
